t V 
8.184514494446263e9 0.33780308554564853 
8.184514494560709e9 0.7432941592347105 
8.184514494576549e9 0.8377703506098778 
8.184514494601521e9 1.001907067448381 
8.184514494622064e9 1.0524017038769653 
8.1845144946381035e9 0.942707605710767 
8.184514494651929e9 0.819905450680242 
8.184514494670233e9 0.6755377461346627 
8.184514494692567e9 0.5376406193196354 
8.1845144947229e9 0.40292830044800526 
8.184514494759567e9 0.3193533364301016 
8.18451449480766e9 0.2663951638128439 
8.184514494858619e9 0.21968878872143027 
8.184514494931108e9 0.1663309688652449 
8.18451449501786e9 0.24591375165282875 
8.184514495082647e9 0.3700801741428702 
8.184514495149082e9 0.3823978843935503 
8.184514495189128e9 0.28714110682094174 
8.184514495229977e9 0.20573600268756653 
8.184514495293533e9 0.1570614894681063 
8.18451449536901e9 0.11070740565289426 
8.184514495482971e9 0.11179540148721115 
8.18451449562021e9 0.23740745522792073 
8.184514495653275e9 0.2879466834169221 
8.184514495736727e9 0.4177538077630831 
8.184514495776442e9 0.37083151169998 
8.184514495815779e9 0.2699886494029022 
8.1845144958510895e9 0.19976992480090328 
8.184514495916765e9 0.13758904341939945 
8.184514495980974e9 0.1630485255046548 
8.18451449608347e9 0.31379242333300605 
8.184514496192312e9 0.663180442872791 
8.184514496214529e9 0.7800458407426055 
8.184514496241369e9 0.9460482338512821 
8.184514496265554e9 1.0353582486294706 
8.184514496281971e9 0.9409415430696133 
8.184514496297132e9 0.8067617500194567 
8.184514496313649e9 0.6746243510329053 
8.184514496337091e9 0.5269718039071929 
8.184514496365681e9 0.3976705423683258 
8.18451449640325e9 0.2847529895944463 
8.184514496450014e9 0.22846464998513494 
8.184514496512374e9 0.17192425423050514 
8.184514496593182e9 0.1514527295799105 
8.184514496696817e9 0.3016552264952879 
8.184514496817799e9 0.7109952657341881 
8.184514496838879e9 0.8329415537170313 
8.184514496851042e9 0.9130285170905389 
8.184514496875271e9 1.081258907772749 
8.184514496894015e9 1.111883272494543 
8.1845144969085e9 0.9977483594980099 
8.184514496921216e9 0.8748615110634376 
8.18451449693853e9 0.7262556994732039 
8.184514496959222e9 0.6885551150283163 
8.1845144969875965e9 0.8652663975292713 
8.184514497021311e9 1.1398024461329517 
8.184514497040288e9 1.3194403873754184 
8.184514497061899e9 1.3501497914466216 
8.184514497072074e9 1.2382145473892248 
8.184514497083139e9 1.1037871660273035 
8.184514497096821e9 0.9552825410476812 
8.184514497114575e9 0.7972428305245187 
8.184514497137074e9 0.64263177756072 
8.184514497164409e9 0.5045669601608768 
8.184514497197965e9 0.4228871787835437 
8.184514497239594e9 0.4219529908045213 
8.18451449729005e9 0.6263081685360511 
8.184514497346242e9 0.9768269038570007 
8.184514497359572e9 1.0854237799873643 
8.1845144973861e9 1.2828247867502593 
8.184514497400305e9 1.2357521540984493 
8.184514497411601e9 1.1146526436790727 
8.184514497422104e9 0.9975038510242353 
8.184514497437648e9 0.8451844405580349 
8.184514497455566e9 0.7032935913315908 
8.184514497480358e9 0.5541833629006833 
8.18451449750918e9 0.4304108025501187 
